"Módulo 1, Leccion 1",
Parte 1,15:14:36
Pedagogical Page Open Time,15:14:36
Pedagogical Page Close Time,15:14:38
Multiplechoice Page Open Time,15:14:38
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,15:14:45
Multiplechoice Page Close Time,15:14:49
Parte 2,15:14:49
Pedagogical Page Open Time,15:14:49
Pedagogical Page Close Time,15:14:53
Pedagogical2 Page Open Time,15:14:53
Pedagogical2 Page Close Time,15:14:55
Parte 3,15:14:55
Pedagogical Page Open Time,15:14:55
Pedagogical Page Close Time,15:14:56
Multiplechoice Page Open Time,15:14:56
Checkbox Selected: Verdadero,15:14:59
Multiplechoice Page Close Time,15:15:00
Parte 4,15:15:00
Draganddrop Page Open Time,15:15:00
Correct Answer Selected: print(729),15:15:03
Draganddrop Page Close Time,15:15:06
Pedagogical Page Open Time,15:15:06
Pedagogical Page Close Time,15:15:07
Parte 5,15:15:07
Multiplechoice Page Open Time,15:15:07
Multiplechoice Page Close Time,15:15:10
Pedagogical Page Open Time,15:15:10
Checkbox Selected: comillas '' ,15:15:10
Pedagogical Page Close Time,15:15:11
Parte 6,15:15:11
Pedagogical Page Open Time,15:15:11
Pedagogical Page Close Time,15:15:11

