"Módulo 1, Leccion 1",
Parte 1,18:03:11
Pedagogical Page Open Time,18:03:11
Pedagogical Page Close Time,18:03:12
Multiplechoice Page Open Time,18:03:12
Multiplechoice Page Close Time,18:03:15
Parte 2,18:03:15
Pedagogical Page Open Time,18:03:15
Parte 1,18:03:15
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,18:03:15
Pedagogical Page Close Time,18:03:18
Pedagogical2 Page Open Time,18:03:18
Pedagogical2 Page Close Time,18:03:19
Parte 3,18:03:19
Pedagogical Page Open Time,18:03:19
Pedagogical Page Close Time,18:03:21
Multiplechoice Page Open Time,18:03:21
Checkbox Selected: Verdadero,18:03:24
Multiplechoice Page Close Time,18:03:25
Parte 4,18:03:25
Draganddrop Page Open Time,18:03:25
Correct Answer Selected: print(729),18:03:27
Draganddrop Page Close Time,18:03:28
Pedagogical Page Open Time,18:03:28
Pedagogical Page Close Time,18:03:29
Parte 5,18:03:29
Multiplechoice Page Open Time,18:03:29
Multiplechoice Page Close Time,18:03:32
Pedagogical Page Open Time,18:03:32
Checkbox Selected: comillas '' ,18:03:32
Pedagogical Page Close Time,18:03:33
Parte 6,18:03:33
Pedagogical Page Open Time,18:03:33
Pedagogical Page Close Time,18:03:33

"Modulo 1, Leccion 2",
Parte 1,18:03:36
Pedagogical Page Open Time,18:03:36
Pedagogical Page Close Time,18:03:37
Pedagogical2 Page Open Time,18:03:37
Pedagogical2 Page Close Time,18:03:37
Pedagogical Page Open Time,18:03:37
Pedagogical Page Close Time,18:03:39
Pedagogical2 Page Open Time,18:03:39
Pedagogical2 Page Close Time,18:03:40
Parte 2,18:03:40
Completeblankspace Page Open Time,18:03:40
Correct Answer Selected: +,18:03:43
Completeblankspace Page Close Time,18:03:44
Pedagogical Page Open Time,18:03:44
Pedagogical Page Close Time,18:03:44
Parte 3,18:03:44
Draganddrop Page Open Time,18:03:44
Draganddrop Page Close Time,18:03:48
Pedagogical Page Open Time,18:03:48
Correct Answer Selected: print(42 * 3),18:03:48
Pedagogical Page Close Time,18:03:49
Parte 4,18:03:49
Multiplechoice Page Open Time,18:03:49
Correct Answer Selected: 4.0,18:03:51
Multiplechoice Page Close Time,18:03:52
Pedagogical Page Open Time,18:03:52
Pedagogical Page Close Time,18:03:53
Parte 5,18:03:53
Draganddrop Page Open Time,18:03:53
Correct Answer Selected: Entero:2,18:03:59
Correct Answer Selected: Flotante:3.14,18:03:59
Draganddrop Page Close Time,18:04:00
Pedagogical Page Open Time,18:04:00
Pedagogical Page Close Time,18:04:00
Parte 6,18:04:00
Pedagogical Page Open Time,18:04:00
Pedagogical Page Close Time,18:04:01
Pedagogical2 Page Open Time,18:04:01
Pedagogical2 Page Close Time,18:04:02
Parte 7,18:04:02
Pedagogical Page Open Time,18:04:02
Pedagogical Page Close Time,18:04:02

"Modulo 1, Leccion 3",
Parte 1,18:04:09
Pedagogical Page Open Time,18:04:09
Pedagogical Page Close Time,18:04:10
Pedagogical2 Page Open Time,18:04:10
Pedagogical2 Page Close Time,18:04:11
Parte 2,18:04:11
Multiplechoice Page Open Time,18:04:11
Multiplechoice Page Close Time,18:04:15
Pedagogical Page Open Time,18:04:15
Checkbox Selected: 'Viernes',18:04:15
Checkbox Selected: 'The Lord of the Rings',18:04:15
Pedagogical Page Close Time,18:04:16
Parte 3,18:04:16
Draganddrop Page Open Time,18:04:16
Draganddrop Page Close Time,18:04:22
Pedagogical Page Open Time,18:04:22
Pedagogical Page Close Time,18:04:22
Parte 4,18:04:22
