"Módulo 1, Leccion 1",
Parte 1,15:29:22
Pedagogical Page Open Time,15:29:22
Pedagogical Page Close Time,17:48:46
Multiplechoice Page Open Time,17:48:46
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,17:48:49
Multiplechoice Page Close Time,17:48:50
Parte 2,17:48:50
Pedagogical Page Open Time,17:48:50
Pedagogical Page Close Time,17:48:54
Pedagogical2 Page Open Time,17:48:54
Pedagogical2 Page Close Time,17:48:55
Parte 3,17:48:55
Pedagogical Page Open Time,17:48:55
Pedagogical Page Close Time,17:48:55
Multiplechoice Page Open Time,17:48:55
Multiplechoice Page Close Time,17:48:59
Checkbox Selected: Verdadero,17:48:59
Parte 4,17:49:00
Draganddrop Page Open Time,17:49:00
Draganddrop Page Close Time,17:49:03
Pedagogical Page Open Time,17:49:03
Correct Answer Selected: print(729),17:49:03
Pedagogical Page Close Time,17:49:04
Parte 5,17:49:04
Multiplechoice Page Open Time,17:49:04
Checkbox Selected: comillas '' ,17:49:09
Multiplechoice Page Close Time,17:49:10
Pedagogical Page Open Time,17:49:10
Pedagogical Page Close Time,17:49:11
Parte 6,17:49:11
Pedagogical Page Open Time,17:49:11
Pedagogical Page Close Time,17:49:11

"Modulo 1, Leccion 2",
Parte 1,17:49:16
Pedagogical Page Open Time,17:49:16
Pedagogical Page Close Time,17:49:18
Pedagogical2 Page Open Time,17:49:18
Pedagogical2 Page Close Time,17:49:19
Parte 2,17:49:19
Completeblankspace Page Open Time,17:49:19
Correct Answer Selected: +,17:49:23
Completeblankspace Page Close Time,17:49:24
Pedagogical Page Open Time,17:49:24
Pedagogical Page Close Time,17:49:25
Parte 3,17:49:25
Draganddrop Page Open Time,17:49:25
Correct Answer Selected: print(42 * 3),17:49:29
Draganddrop Page Close Time,17:49:30
Pedagogical Page Open Time,17:49:30
Pedagogical Page Close Time,17:49:31
Parte 4,17:49:31
Multiplechoice Page Open Time,17:49:31
Correct Answer Selected: 4.0,17:49:33
Multiplechoice Page Close Time,17:49:34
Pedagogical Page Open Time,17:49:34
Pedagogical Page Close Time,17:49:35
Parte 5,17:49:35
Draganddrop Page Open Time,17:49:35
Correct Answer Selected: Entero:2,17:49:39
Correct Answer Selected: Flotante:3.14,17:49:39
Draganddrop Page Close Time,17:49:40
